Nanc	Nbot	T	Ncurr
71857.3099232017	1.31348957197468	1.21063037785973	30369.2646438482
71853.4397255023	1.60589156539136	0.0161528408847835	10927.6119262874
71859.2139891797	0.0463318355421925	0.0161540825180713	49810.8740800267
80604.8250619472	0.143752780041165	0.0161497365180867	45917.328510062
61350.7103203151	0.436265831240885	0.016156813711285	10930.8474910076
61352.9872148881	0.143844218060723	0.0790085603058743	34261.3897789008
80600.3516057698	0.923507451796141	0.0161488166348553	49804.0627583574
80608.8183556863	1.70331846035518	0.0790313259711823	14813.9376232372
80598.2100405632	0.143725918162892	0.0790366390623677	3147.46005493067
46772.1342387553	0.108152115940905	0.243067412073325	25622.2013384489
54410.8687180923	0.108180148736163	0.0497497306047292	35678.6998235574
59293.8308239496	0.156907667007827	0.0360524733529563	33988.5870732747
57582.7480863645	0.336867292019221	0.0302933111486957	34770.0018337586
62060.7007487985	0.438290812245808	0.0350385983428743	34407.9180803235
57375.3614953396	0.433487197896873	0.0492119694471937	35513.3722716137
54497.3067010509	0.161938624473301	0.0276445841666244	33731.5875970231
62175.2579585656	0.375150129455182	0.0304108213097841	34937.0325414
59268.0530226883	0.3315369054859	0.0321970949731792	33378.8922328884
59074.5870666087	0.444871348963182	0.0375160475355682	35268.6462005372
58083.6125977914	0.234345792468071	0.027423965665153	34756.7027671911
62644.9738642002	0.383795617882185	0.0269143449037672	33469.9405676177
56743.9547439832	0.427162386880917	0.0237143073868574	33847.2305050885
61978.5446057637	0.29467598369594	0.0318607277283643	31341.1851444344
58263.2520463105	0.495618820943978	0.0353180959889545	33455.8279629821
60515.4517982359	0.195452880106615	0.0198762502638453	32313.7483684266
57171.8251651447	0.577889250849122	0.0460067523187179	33471.6795725376
62115.9221348385	0.196758631461711	0.0475645705550329	35252.2426711001
58341.7074597557	0.303633792013149	0.0333278009735455	34715.1757079692
58606.3744622714	0.112205214101831	0.0471935695343626	34309.104542417
59316.2898539288	0.137869725840254	0.023178730445599	33917.90777864
59433.0574535353	0.13727140402751	0.0210208761995889	34220.0987090162
56290.6358158504	0.306665286909005	0.0196702343462481	35178.1610114798
57089.5982853534	0.552143027131556	0.0402996316122231	32315.5196087318
62465.5690401285	0.111878425128246	0.0260159173658965	31222.0054661148
57877.1022225236	0.180908598537459	0.0286104622983908	34216.8151732541
62459.3479969664	0.419500006267048	0.0262481262715626	32871.2453386825
60224.4887614238	0.134981138412407	0.0402723162200182	34227.2597075967
55922.9021219149	0.116815962834008	0.0496418000445157	34656.8602528461
60472.311770767	0.122493806266287	0.0375911257104182	30991.3773680487
56272.8280922734	0.114241386508357	0.0203371054214306	34229.3230181972
63007.8970457659	0.532557190034554	0.0208356903800581	35522.0607656848
55120.6299305144	0.195124103465291	0.0341674637986689	32772.9654860401
59892.4501566168	0.358047964459393	0.0199375016575517	31684.5695177575
56732.7077918912	0.214572688139943	0.0223189466368859	33444.3283003574
58387.9530086193	0.296291251112132	0.0218486626894135	32656.3070470921
59240.4488725247	0.153017051976452	0.0271657353191409	34036.7756051804
60311.0838997919	0.380004366205276	0.022094558537971	32996.3328497454
62881.6362917134	0.227129292259703	0.0218169732344185	31463.7195033067
58057.0293432423	0.516726989637694	0.0276779396158104	35125.1935672195
56632.4134578471	0.572099567830643	0.0285913649369302	35081.6280361408
60417.3135988181	0.185348795104027	0.0234702016117797	35518.1653175391
58893.1791893755	0.212838238419507	0.037998769150317	31088.7335343899
58538.843671061	0.4262668453632	0.0423576437975419	31224.2950432563
56680.5144001741	0.123117639576207	0.0198357134420362	33390.2552569087
58370.1024754742	0.294281087928825	0.0327847638264136	34423.0147728207
