growth	0.40069986630459853	0.2653092207975351	478824.5252280423	69079.19880686134	27680.02572633812	36654.6968175328	-3793.3331675144145
growth	0.4014379863365657	0.26808961064854614	479316.12471121637	69150.12102709507	27759.485340046853	37076.85804490752	-3793.1203932667268
growth	1.0569383491237538	0.13981145597427497	358268.30911407585	51686.758817758	54629.71753639876	14452.802009803881	-38406.03690250061
growth	0.04317950859609548	0.006967515095081197	426617.53793324664	61547.38565938963	2657.585868146818	857.6646772891625	-5618.413942986575
growth	0.04826148497263962	0.004669465807153026	424202.79840200086	61199.015299566745	2953.5553572203826	571.5334187455236	-5244.498527459102
growth	0.009367967190627904	0.24856223924715834	25322756.876815606	3653271.0094543723	34223.72295504064	1816130.4453734108	-4432.536535356077
growth	1.1127305965863403	0.28644768677441546	351493.56539987115	50709.37807963437	56425.87652307384	29051.16809736103	-43072.1564324284
growth	0.16195198495232543	0.03506599799214764	433706.70825778577	62570.12818911137	10133.356458948037	4388.1679788956	-5197.237223446078
growth	0.4010891664046063	0.26717671738473214	479201.10400929896	69133.52718631201	27728.708789768072	36941.73770973396	-3793.205932006298
growth	0.4011685319958933	0.26708769712893815	479141.0455070885	69124.86264847894	27730.719673108055	36924.80075827279	-3793.191452514322
growth	0.03338688129379516	0.002842433904100792	437581.56144552334	63129.14665955343	2107.6853257010957	358.88085360413186	-4437.511284104083
growth	0.07062318874094242	0.012449524128997231	425360.6085513058	61366.05059803302	4333.866173671108	1527.956255242954	-5673.7102837148705
growth	0.40130478047118906	0.26736511329523066	479163.0713400634	69128.0402778918	27741.413028122886	36964.852641551624	-3793.1605585335637
growth	1.0597036419022694	0.2244538778250107	356831.7472911816	51479.5084900627	54553.02263025824	23109.550618240268	-39204.00453308021
growth	0.4010388635304372	0.2668936910469533	479140.3972517557	69124.76912578609	27721.718852009108	36897.92954949906	-3793.222779593838
growth	1.112531361404747	0.2322499461811008	352700.8338862717	50883.548648164884	56609.54365064755	23635.402870079437	-42582.008781308716
growth	0.40088949023347964	0.2661699656641911	478993.92414825317	69103.6377005904	27702.922091068755	36786.6257480737	-3793.2711477008415
growth	0.40106416780185467	0.2671941446251128	479216.93961643754	69135.81176238554	27727.89680978683	36945.36817362683	-3793.2115380163305
growth	0.09017506790638558	0.016902627032367844	428047.562323417	61753.69284279923	5568.643445569498	2087.599275986478	-5579.95913700643
growth	0.017760119196273252	0.37081474491455285	13306377.766921466	1919688.4594050348	34093.895858743585	1423697.572779378	-4416.460276829777
growth	1.053568151905135	0.11273747053351267	358907.33204883826	51778.94956828727	54552.65220424961	11674.85560242205	-37952.66746744671
growth	0.01838090543755833	0.37530690630438174	12729081.837653922	1836402.9588361743	33754.74913162004	1378429.426418035	-4431.232946645818
growth	0.015252641608200654	0.12579006100710916	2804105.460738081	404543.5193727356	6170.357315912514	101775.10796385411	-107167.83686627948
growth	0.04408721143602259	0.006516837982049009	424494.9814731898	61241.16805365353	2699.952324570415	798.1975400741914	-5589.213952913473
growth	0.4011008169761125	0.26724310838871596	479215.4038306763	69135.59019718925	27730.34171021832	36952.02004917059	-3793.202024781436
growth	0.40118716636227786	0.26739679823806234	479222.92272234254	69136.67493488512	27736.74670883648	36973.85103682795	-3793.1801422654535
growth	0.010726648271486217	0.273477775816643	22340693.281143885	3223053.7730210405	34572.56418328328	1762867.154366467	-4443.016557422758
growth	0.018653266731950457	0.38273889578755454	12695223.995691972	1831518.3456369091	34163.80022562589	1401986.6184474386	-4414.868028894591
growth	0.02018619432259145	0.40696715254396554	11905213.792288188	1717544.9189950966	34670.69549261461	1397968.7300995807	-4443.807470067579
growth	0.03912666392407796	0.0033387909868739735	437174.3277659585	63070.39575012975	2467.7341780739216	421.15773773821553	-4433.938226778526
growth	0.0472716989943796	0.007518956540809059	424306.0818054361	61213.91582028664	2893.6858029238815	920.5295454909588	-5678.014675607148
growth	0.0779851309596473	0.014529797094492036	427881.3123460704	61729.7082416945	4813.999381329365	1793.8402709080276	-5638.854620281025
growth	0.05245306071753385	0.009069568176492765	425777.69614391687	61426.22311471047	3221.9934106846895	1114.2186367266447	-5707.100459081354
growth	0.0901406642958197	0.0165022706568854	426871.3240530692	61583.998950693574	5551.222575408582	2032.5516376353837	-5581.941576352052
growth	1.0206162374219478	0.12371688804625387	360516.0925987295	52011.042713068535	53083.31471820422	12869.288697003256	-36456.094217090285
growth	0.4010669650279664	0.267770014312408	479383.3106767339	69159.81383192124	27737.716635467827	37037.84867923405	-3793.203908769123
growth	0.07363150101328937	0.01354731809475505	427327.1372051521	61649.75833788561	4539.364243525069	1670.3777733362274	-5655.107485634799
growth	0.04386091676029811	0.004688909828127865	428939.04853571183	61882.30604042808	2714.2146741745087	580.3211059603591	-4983.317967673531
growth	1.0641608994651397	0.15317517078598042	357613.86874589545	51592.343820365706	54902.55500539511	15805.332151867076	-38919.5918067813
growth	0.10517963073460083	0.02019277721233148	429066.90913609345	61900.75227149596	6510.698266109949	2499.8961997880797	-5504.64817708038
growth	0.12282501568557355	0.023602445058645755	428711.2077565929	61849.43583924201	7596.657927098775	2919.5958226078906	-5417.122556370392
growth	0.40215764148113436	0.26971162495562373	479474.4644669356	69172.96443399691	27818.436231034586	37313.50528098175	-3793.060704325908
growth	0.4013271364701379	0.2658207560490378	478704.6075048035	69061.89848115198	27716.41395663209	36716.17213688343	-3793.2330009807483
growth	0.4022346041395122	0.2701044549663771	479554.5172053925	69184.51350624266	27828.405402768247	37374.09062543525	-3793.053884526831
